   |   0   1   2   3   4   5   6   7   8   9   a   b   c   d   e   f
--------------------------------------------------------------------
  0|  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1|   0   0   2   0   4   2   2   2   0   0   0   0   0   4   0   0 
  2|   2   2   0   2   0   0   0   2   0   0   0   4   2   0   0   2 
  3|   0   0   0   2   0   2   4   0   2   0   0   2   0   2   2   0 
  4|   0   0   0   0   2   0   0   6   0   0   2   0   4   0   0   2 
  5|   2   2   2   2   0   0   0   0   2   0   4   0   0   0   2   0 
  6|   2   0   0   0   0   2   0   0   0   0   0   4   6   0   0   2 
  7|   0   4   2   0   0   0   0   2   0   2   2   0   0   0   0   4 
  8|   0   2   0   2   2   0   2   0   0   0   2   0   2   4   0   0 
  9|   2   0   0   2   2   0   0   2   0   2   2   2   0   0   2   0 
  a|   0   2   0   2   0   2   4   2   0   0   2   0   2   0   0   0 
  b|   0   2   2   2   0   2   0   4   2   0   0   2   0   0   0   0 
  c|   2   0   0   0   0   0   2   0   2   2   4   0   2   2   0   0 
  d|   0   0   0   0   2   0   0   2   2   2   0   2   2   2   2   0 
  e|   0   4   0   2   0   0   2   0   2   2   0   0   0   2   0   2 
  f|   0   0   2   0   2   2   2   0   0   0   0   4   2   0   0   2 
