   |   0   1   2   3   4   5   6   7   8   9   a   b   c   d   e   f
--------------------------------------------------------------------
  0|  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1|   0   0   4   2   0   0   4   0   0   2   2   2   0   0   0   0 
  2|   0   0   2   0   0   0   2   2   0   4   2   0   0   2   0   2 
  3|   2   0   0   0   4   0   0   0   0   2   0   4   2   0   2   0 
  4|   0   0   0   2   0   2   0   2   0   0   2   4   0   0   4   0 
  5|   0   2   0   0   0   2   0   2   4   2   0   0   2   2   0   0 
  6|   0   4   2   2   2   2   0   2   0   0   0   0   2   0   0   0 
  7|   2   2   0   0   0   2   0   4   0   0   0   0   0   0   4   2 
  8|   2   2   4   2   2   0   2   0   0   0   0   2   0   0   0   0 
  9|   4   0   2   0   0   2   2   0   2   2   0   2   0   0   0   0 
  a|   0   0   2   0   2   2   0   0   0   2   0   4   2   2   0   0 
  b|   2   0   2   0   0   0   2   0   0   2   0   2   0   2   0   4 
  c|   2   0   0   0   0   2   0   2   4   0   2   0   2   0   0   2 
  d|   0   0   0   4   0   2   0   0   0   0   2   2   2   2   2   0 
  e|   0   2   2   0   0   4   2   4   0   0   0   0   0   0   2   0 
  f|   0   2   0   2   4   0   0   2   0   0   0   0   4   0   2   0 
