   |   0   1   2   3   4   5   6   7   8   9   a   b   c   d   e   f
--------------------------------------------------------------------
  0|  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1|   2   2   2   0   2   0   2   0   0   4   0   0   0   0   0   2 
  2|   0   2   0   2   4   2   0   0   0   0   2   0   2   0   0   2 
  3|   2   0   0   4   0   4   0   0   2   0   0   2   0   2   0   0 
  4|   0   0   0   0   0   4   2   0   4   0   2   0   2   0   2   0 
  5|   0   2   0   0   0   2   0   2   2   2   0   0   6   0   0   0 
  6|   2   0   0   0   0   0   0   0   0   2   2   0   4   2   0   4 
  7|   0   0   0   2   0   2   2   0   2   2   0   0   0   4   0   2 
  8|   0   2   0   0   0   0   0   0   2   0   0   6   0   2   2   2 
  9|   0   0   4   0   0   0   0   2   0   0   0   2   2   0   2   4 
  a|   0   2   0   0   2   0   0   2   0   0   2   2   2   0   2   2 
  b|   0   0   0   2   2   0   2   0   4   0   2   2   0   0   2   0 
  c|   2   0   0   2   0   0   2   4   0   0   0   2   0   0   4   0 
  d|   0   2   0   0   2   0   2   4   0   2   2   0   0   0   2   0 
  e|   0   2   4   2   4   0   0   2   0   0   0   2   0   0   0   0 
  f|   2   0   4   2   0   0   2   0   2   0   0   0   0   2   2   0 
