   |   0   1   2   3   4   5   6   7   8   9   a   b   c   d   e   f
--------------------------------------------------------------------
  0|  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1|   4   0   0   0   2   2   0   0   0   2   0   2   0   4   0   0 
  2|   0   0   2   0   0   2   0   0   4   0   2   0   2   2   0   2 
  3|   0   2   0   0   0   4   2   0   2   2   2   0   0   0   0   2 
  4|   2   2   0   2   2   0   0   0   2   2   2   0   0   0   2   0 
  5|   0   4   0   4   4   0   0   0   0   0   0   0   0   2   2   0 
  6|   0   0   2   0   4   2   0   0   2   0   0   4   2   0   0   0 
  7|   0   4   0   0   0   0   0   0   0   4   0   4   2   0   0   2 
  8|   4   0   0   0   4   0   0   0   2   4   0   2   0   0   0   0 
  9|   2   0   0   0   2   0   0   0   0   4   0   2   2   4   0   0 
  a|   0   2   2   0   2   0   2   0   2   0   2   0   4   0   0   0 
  b|   0   8   2   0   0   0   2   0   2   0   0   0   0   0   0   2 
  c|   2   0   0   2   0   0   0   0   4   2   2   0   0   2   2   0 
  d|   0   0   0   4   0   4   0   0   0   2   2   0   0   4   0   0 
  e|   4   0   2   0   0   2   0   0   0   0   0   2   4   0   0   2 
  f|   2   2   2   0   0   2   0   0   2   2   0   2   0   0   0   2 
